id,slug,value,name,attribute,summary,description,notes
9205293f-9bbf-42b1-be0d-68fb1aa616b3,acrobaties,Acrobatics,Acrobaties,adresse,"Acrobaties mesure la capacité du personnage à maîtriser son corps dans le mouvement, que ce soit pour conserver son équilibre, effectuer des figures complexes ou se dégager physiquement de situations contraignantes.",La compétence **Acrobaties** permet au personnage de :\n\n- amortir une chute\n- conserver son équilibre sur des surfaces instables\n- exécuter des manœuvres acrobatiques\n- se contorsionner pour se libérer de liens,
b7db5e1d-1170-48af-9ac9-4953c2068f96,artisanat,Crafting,Artisanat,adresse,"Artisanat mesure l’aptitude du personnage à créer, réparer ou démonter des objets à l’aide d’outils, allant de l’improvisation brute à la fabrication complexe.","La compétence **Artisanat** permet au personnage de :\n\n- concevoir ou fabriquer un objet\n- démanteler un objet pour en récupérer les composantes utiles\n- réparer ou restorer un objet\n\nCes actions nécessitent les outils, matériaux et tables de travail appropriés.",
fba76998-1a74-4dc4-91a1-f25e3e32026d,athletisme,Athletics,Athlétisme,vigueur,"Athlétisme mesure la capacité physique générale du personnage à se déplacer dans des environnements exigeants, notamment par l’escalade, la nage ou les sauts.",La compétence **Athlétisme** permet au personnage de \n\n- effectuer des sauts en longueur et en hauteur\n- escalader des surfaces avec ou sans prises\n- nager ou se maintenir à la surface de l’eau,
9e220721-a8a5-4d61-9392-0a23c839dc65,connaissance,Knowledge,Connaissance,intellect,"Connaissance mesure l’étendue des savoirs acquis du personnage, qu’ils soient encyclopédiques, spécialisés ou théoriques.","La compétence **Connaissance** permet au personnage de faire appel à ses savoirs généraux ou spécialisés pour répondre à une question précise, qu’elle concerne un sujet commun ou un domaine particulier.",
81f62acc-1d5c-40cf-99fe-9399160ce26b,diplomatie,Diplomacy,Diplomatie,,"Diplomatie mesure l’aptitude du personnage à interagir avec finesse dans des contextes sociaux, à inspirer la confiance ou la sympathie, et à tirer parti des échanges verbaux.","La compétence **Diplomatie** permet au personnage de :\n\n- influencer l’attitude d’autrui par le tact, les mots justes ou une étiquette appropriée\n- obtenir des informations précises en interagissant habilement avec les bonnes personnes\n- se fondre dans une foule sans attirer l’attention",
22aeec90-9f7b-4af5-a5fe-c472219cb2c5,discipline,Discipline,Discipline,sante,"Discipline mesure la stabilité mentale et émotionnelle du personnage face au stress, à la douleur ou aux interférences surnaturelles.",La compétence **Discipline** permet au personnage de :\n\n- conserver son sang-froid dans une situation difficile\n- maintenir un Pouvoir actif malgré les perturbations\n- rester en position malgré une blessure ou un environnement hostile\n- résister à certaines formes d’influence surnaturelle,
4fdbc7d3-88d1-448e-b202-b8f1c1baac6e,furtivite,Stealth,Furtivité,adresse,"Furtivité permet au personnage d’éviter la détection, que ce soit par la dissimulation visuelle, le déplacement silencieux, le camouflage ou des gestes discrets limitant les traces laissées.","La compétence **Furtivité** permet au personnage de :\n\n- manipuler discrètement de petits objets — que ce soit pour les dérober, les dissimuler ou les déposer sans être vu\n- minimiser les traces laissées lors d’un déplacement\n- se camoufler dans un environnement\n- se dissimuler dans l’ombre ou au sein d’une foule\n- se déplacer silencieusement en terrain dégagé ou encombré",
1aeb5404-958f-4dcb-95b5-0566f24d265e,intuition,Insight,Intuition,sens,"Intuition reflète la capacité du personnage à percevoir l’intention derrière les mots, à lire les émotions, et à reconnaître les tentatives de manipulation ou de dissimulation.","La compétence **Intuition** permet au personnage de :\n\n- déchiffrer le langage corporel\n- détecter une tentative de manipulation, qu’elle soit dirigée contre lui ou non\n- déterminer si quelqu’un ment ou tente de l’influencer\n- percevoir les intentions réelles d’une créature\n- utiliser son intelligence émotionnelle, c’est-à-dire percevoir, comprendre, exprimer et gérer les émotions",
2f5f0ba1-7856-488d-ac58-09e929b3420b,investigation,Investigation,Investigation,intellect,Investigation reflète la capacité d’analyse logique et d’observation du personnage pour tirer des déductions concrètes à partir d’indices ou d’informations fragmentaires.,La compétence **Investigation** permet au personnage de :\n\n- analyser un mécanisme complexe tel un piège\n- détecter les incohérences \n- estimer la valeur d’un objet\n- reconstituer une scène à partir de fines observations\n- tirer des conclusions simples à partir d’indices\n- évaluer les coûts de fabrication et de revente d’un objet,
7d82f1e8-ce50-49d0-83ec-90b1fafd2e90,linguistique,Linguistics,Linguistique,intellect,"Linguistique évalue l’aptitude du personnage à comprendre, manipuler ou produire des messages écrits ou symboliques, dans sa langue ou dans d’autres.","La compétence **Linguistique** permet au personnage de :\n\n- comprendre ou produire un document écrit, qu’il soit simple ou complexe\n- décrypter un texte\n- falsifier un texte\n- interpréter un message non verbal\n- lire des schémas, comme des cartes ou des interfaces\n- tenter de comprendre un texte rédigé dans une langue inconnue",
