id,slug,value,name,attribute,summary,description,notes
2f259d60-ea44-4417-82e4-f7645e3a9535,apprentissage,Learning,Apprentissage,intellect,"L’Apprentissage mesure la vivacité d’esprit d’un personnage et la vitesse à laquelle il acquiert des savoirs, reflétée par ses points de compétence.","L’**Apprentissage** représente la vitesse d’acquisition de savoirs et d’aptitudes du personnage, sa vivacité d’esprit.\n\nCela se traduit par le nombre de points de compétence disponibles.\n\nCette statistique n’est pas affectée par les bonus temporaires à l’Intellect.\n\nL’équation suivante calcule l’Apprentissage d’une créature :\n\n<code>Apprentissage = 5 + Intellect + (Niveau ÷ 5)(2 + Intellect)<br />Apprentissage<sub>minimum</sub> = 5 + (Niveau ÷ 5)</code>",
d822da12-472d-4339-b4d4-18e3242e1569,charge,Load,Charge,vigueur,"La Charge indique combien de poids un personnage peut porter sans pénalité. Au-delà, il est encombré et subit des effets en jeu.","La **Charge**, ou capacité de portage, représente la quantité de poids qu’un personnage peut porter sans pénalité.\n\nLorsqu’une créature porte un poids supérieur à sa Charge, elle est encombrée.\n\nL’équation suivante calcule la Charge d’une créature :\n\n<code>Charge = 10 × (5 + Vigueur)</code>",
9feaa1b2-327a-443c-930c-f7376d072feb,energie,Stamina,Énergie,sante,"L’Énergie reflète la force mentale, l’ardeur et l’endurance d’un personnage, représentant ses capacités avant l’inconscience.","L’**Énergie** est une abstraction de la force mentale, de l’ardeur et de l’endurance d’un personnage. \n\nElle représente également la quantité de capacités qu’il peut utiliser avant de sombrer dans l’inconscience.\n\nL’équation suivante calcule l’Énergie d’une créature :\n\n<code>Énergie = (25 + Niveau)(5 + Santé) ÷ 5</code>",
f5504b8d-dcb9-47b9-8d85-3e1d60941cb3,esquive,Dodge,Esquive,adresse,"L’Esquive détermine la difficulté de toucher un personnage, réduisant les chances de réussite des attaques physiques ou surnaturelles.","L’**Esquive** détermine le résultat d’une attaque dirigée contre le personnage.\n\nPlus elle est élevée, moins sont grandes les chances de réussite de cette attaque, qu’elle soit physique ou surnaturelle.\n\nL’équation suivante calcule l’Esquive d’une créature :\n\n<code>Esquive = 5 + (Adresse × 2)</code>",
dca48ff7-3c5f-4ae4-ab6c-5b8a469dfff0,force,Strength,Force,vigueur,La Force traduit l’impact des attaques physiques de mêlée et s’ajoute aux points de dégâts infligés lorsqu’une attaque est réussie.,La **Force** représente l’impact des attaques physiques de mêlée du personnage.\n\nElle est ajoutée aux points de dégâts infligés lorsqu’une de ces attaques est réussie.\n\nL’équation suivante calcule la Force d’une créature :\n\n<code>Force = 5 + (Vigueur × 2)</code>,
c2752460-2f6d-44e7-9155-35a32f77718b,initiative,Initiative,Initiative,sens,L’Initiative mesure la vitesse de réaction du personnage en situation stressante et détermine l’ordre des tours en combat.,L’**Initiative** représente la vitesse de réaction du personnage dans une situation particulièrement stressante.\n\nElle détermine l’ordre des tours des créatures en situation de combat.\n\nL’équation suivante calcule l’Initiative d’une créature :\n\n<code>Initiative = 2 × Sens</code>,
b5516880-98ef-4c82-b312-07356131e589,precision,Precision,Précision,adresse,La Précision exprime l’impact des attaques physiques à distance et s’ajoute aux dégâts infligés lorsqu’une attaque de ce type réussit.,La **Précision** représente l’impact des attaques physiques à distance du personnage.\n\nElle est ajoutée aux points de dégâts infligés lorsqu’une de ces attaques est réussie.\n\nL’équation suivante calcule la Précision d’une créature :\n\n<code>Précision = 5 + (Adresse × 2)</code>,
57ba138f-de97-4a03-be93-64792460ed61,puissance,Power,Puissance,sens,La Puissance représente l’impact des attaques surnaturelles et augmente les dégâts infligés lorsqu’une attaque de ce type réussit.,La **Puissance** représente l’impact des attaques surnaturelles du personnage.\n\nElle est ajoutée aux points de dégâts infligés lorsqu’une de ces attaques est réussie.\n\nL’équation suivante calcule la Puissance d’une créature :\n\n<code>Puissance = 5 + (Sens × 2)</code>,
a0640677-364b-4f89-9c65-f39ff51bfb14,stratageme,Stratagem,Stratagème,intellect,Le Stratagème définit l’impact des attaques physiques astucieuses et augmente les dégâts infligés lorsqu’une attaque de ce type réussit.,Le **Stratagème** représente l’impact des attaques physiques astucieuses du personnage.\n\nElle est ajoutée aux points de dégâts infligés lorsqu’une de ces attaques est réussie.\n\nL’équation suivante calcule le Stratagème d’une créature :\n\n<code>Stratagème = 5 + (Intellect × 2)</code>,
67923010-8186-45da-be60-f5fd26e4fad3,vitalite,Vitality,Vitalité,sante,"La Vitalité reflète la force vitale et la constitution d’un personnage, indiquant les dégâts qu’il peut encaisser avant de tomber à l’agonie.","La **Vitalité** est une abstraction de la force vitale, de la forme physique et de la constitution d’un personnage.\n\nElle représente également la quantité de dégâts qu’une créature peut supporter avant de tomber à l’agonie.\n\nL’équation suivante calcule la Vitalité d’une créature :\n\n<code>Vitalité = (25 + Niveau)(5 + Santé) ÷ 5</code>",
