id,tier,slug,name,allow_multiple_purchases,skill,required_talent,summary,description,notes
81055e43-6133-4156-a6e7-8a6d429f4cac,2,acceleration,Accélération,TRUE,,,Augmente la vitesse de déplacement du personnage.,Confère au personnage un bonus permanent de 2 points de mouvement.,🔗
e140bcef-18e3-4fcd-8cf7-62eeada0367a,0,acrobaties,Acrobaties,FALSE,acrobaties,,Réduit drastiquement le coût pour se relever lorsqu’on est renversé.,Se relever ne coûte qu’un seul point de mouvement.,🔗
f9e6a204-15c5-49f1-b4da-c1f6489cb2b3,2,alchimie,Alchimie,FALSE,,infusions-magiques,"Permet de créer des élixirs expérimentaux aux effets aléatoires, dont guérison, vitesse, solidité, audace, vol ou transformation.","### Alchimie\n\nLe personnage peut produire un élixir expérimental parmi la table ci-dessous par 2 actions et en dépensant 15 points d’Énergie.\n\nIl doit posséder un contenant vide approprié, par exemple une flasque, ainsi que des fournitures d’alchimiste.\n\nL’élixir peut être bu ou administré à une créature incapable en effectuant l’activité Objet (une action).\n\nUn élixir s’évapore s’il n’est pas consommé après 24 heures.\n\n### Élixir expérimental\n\nLe personnage peut également produire un élixir une fois par jour, pendant une nuit de sommeil, en action libre et en ne dépensant aucun point d’Énergie.\n\nCe nombre augmente à 2 s’il a acquis la spécialisation Bricoleur et à 3 s’il a acquis la spécialisation Alchimiste.\n\nChaque élixir requiert son propre contenant.\n\nL’effet d’un élixir expérimental est déterminé aléatoirement au moment où il est consommé.\n\n### Élixirs\n\n<table class=""table table-striped"">\n  <thead>\n    <tr>\n      <th scope=""col"">1d6</th>\n      <th scope=""col"">Effet</th>\n    </tr>\n  </thead>\n  <tbody>\n    <tr>\n      <td>1</td>\n      <td><strong>Guérison.</strong> La cible récupère 4d4 points de Vitalité additionnés au modificateur d’Intellect du personnage.</td>\n    </tr>\n    <tr>\n      <td>2</td>\n      <td><strong>Rapidité.</strong> La vitesse de la cible augmente de 2 cases (3 mètres) pendant la prochaine heure.</td>\n    </tr>\n    <tr>\n      <td>3</td>\n      <td><strong>Solidité.</strong> L’Esquive de la cible augmente de +2 pendant les 10 prochaines minutes.</td>\n    </tr>\n    <tr>\n      <td>4</td>\n      <td><strong>Audace.</strong> La cible peut ajouter 1d6 à tout test d’attaque et jet de sauvegarde qu’elle effectue pendant la prochaine minute.</td>\n    </tr>\n    <tr>\n      <td>5</td>\n      <td><strong>Vol.</strong> La cible acquiert une vitesse de vol de 2 cases (3 mètres) pendant les 10 prochaines minutes.</td>\n    </tr>\n    <tr>\n      <td>6</td>\n      <td><strong>Transformation.</strong> La cible applique une des options du niveau 2 du pouvoir Polymorphisme sur son corps. La cible choisit l’effet, celui-ci dure 10 minutes et il ne requiert pas de concentration.</td>\n    </tr>\n  </tbody>\n</table>",🔗
13804765-63c3-48f1-b74a-93a8fe596d5a,1,ambidextre,Ambidextre,FALSE,,,"Ignore le désavantage en main secondaire, gagne +1 à l’Esquive sans bouclier en combat à deux armes, et peut dégainer ou rengainer deux armes en même temps.","Le personnage acquiert les capacités suivantes :\n\n- Le test de ses attaques effectuées en maniant une arme avec une main secondaire n’est plus affligé du désavantage.\n- Lorsqu’il combat en maniant une arme différente dans chaque main, il se voit conférer un bonus de +1 à l’Esquive s’il ne bénéficie pas d’un bouclier.\n- Lorsqu’il dégaine ou rengaine une arme, il peut rengainer ou dégainer une autre arme avec une autre main par une action libre.",🔗
0f68458c-268a-459a-8a58-a03ea8cbe5df,3,ame-de-diamant,Âme de diamant,FALSE,,resilience,"Permet de doubler la dépense en Énergie pour réussir un jet contre un effet surnaturel, et réduit ou annule ses dégâts ou sa durée.","Lorsque le personnage lève ses barrières mentales, il peut doubler la dépense en points d’Énergie afin de réussir automatiquement le jet de sauvegarde contre la capacité surnaturelle et d’ajouter la totalité de son rang de Discipline à sa Défense contre cette capacité.\n\nIl peut également remplacer sa Défense par son test passif de Discipline lorsqu’il en fait ainsi.\n\nÉgalement, lorsqu’il lève ses barrières mentales et qu’il réussit un jet de sauvegarde afin de réduire de moitié les points de dégâts reçus ou la durée de l’effet, il ne reçoit aucun point de dégâts ou n’est pas affecté par l’effet.\n\nS’il échoue le jet de sauvegarde, il réduit tout de même de moitié les points de dégâts reçus ou la durée de l’effet.",🔗
1448708f-afce-4213-8d0c-d652cc129767,2,apothicairerie,Apothicairerie,FALSE,,herboristerie,"Permet d’apprendre les remèdes avancés et d’utiliser une trousse de soins pour en reproduire les effets, en dépensant de l’Énergie.","Le personnage peut désormais apprendre les remèdes avancés.\n\nÉgalement, permet au personnage de remplacer un remède par des charges d’une trousse de premiers soins afin de soigner une condition temporaire affligeant une créature.\n\nPar une action, en dépensant 15 points d’Énergie et 5 charges d’une trousse de premiers soins, il peut produire les effets d’un remède de base.\n\nPar deux actions, en dépensant 30 points d’Énergie et les 10 charges d’une trousse de premiers soins, il peut produire les effets d’un remède avancé.\n\nIl doit compléter une nuit de sommeil afin de réutiliser cette capacité.",🔗
bd031f6c-3404-4676-849a-d8f81aa72808,1,armes-a-deux-mains,Armes à deux mains,FALSE,,melee,"Peut relancer les dés de dégâts tombés sur 1 ou 2 avec une arme tenue à deux mains (Deux mains ou Versatile), mais doit garder le nouveau résultat.","Lorsque le personnage effectue une attaque en maniant une arme à deux mains, il peut relancer les dés de dégâts qui tombent sur les faces 1 et 2 du dé.\n\nIl doit conserver le résultat des dés relancés, même si ceux-ci sont tombés sur les faces 1 et 2 du dé.\n\nAfin d’utiliser cette capacité, il doit tenir l’arme à deux mains, et celle-ci doit posséder la propriété Deux mains ou Versatile.",🔗
cb468589-3697-46dc-ada6-848ddec3fefb,1,armes-de-finesse,Armes de finesse,FALSE,,,"Formé aux armes de Finesse, il choisit entre Adresse ou Vigueur pour attaquer et inflige des dégâts supplémentaires s’il ne manie aucune autre arme.","Le personnage acquiert les capacités suivantes :\n\n- Il est formé au maniement des armes simples et martiales possédant la propriété Finesse.\n- Lorsqu’il effectue une attaque en maniant une telle arme, il choisit s’il effectue un test de Mêlée (Force) ou d’Orientation (Précision). Il ajoute sa Force ou sa Précision en fonction de la compétence utilisée.\n- Lorsqu’il effectue une attaque de mêlée en maniant une telle arme, il inflige 1d4 points de dégâts supplémentaires s’il ne tient aucune autre arme.",🔗
0e78aee5-5460-433d-add8-491169aa654a,1,armes-de-jet,Armes de jet,FALSE,,,"Formé aux armes de Jet, il choisit entre Force ou Précision pour attaquer, inflige +1d4 dégâts s’il est désarmé et peut dégainer gratuitement avant de lancer.","Le personnage acquiert les capacités suivantes :\n\n- Il est formé au maniement des armes simples et martiales possédant la propriété Jet.\n- Lorsqu’il effectue une attaque en maniant une telle arme, il choisit s’il effectue un test de Mêlée (Force) ou d’Orientation (Précision). Il ajoute sa Force ou sa Précision en fonction de la compétence utilisée.\n- Lorsqu’il effectue une attaque à distance en lançant une telle arme, il inflige 1d4 points de dégâts supplémentaires s’il ne tient aucune autre arme.\n- Il peut dégainer une telle arme par une action libre avant d’effectuer une attaque à distance avec cette arme.",🔗
47dcce1a-e199-4fe6-908b-743dd2c59ca6,1,armes-de-tir,Armes de tir,FALSE,orientation,orientation,"Formé aux armes martiales à distance, il gagne aussi un bonus aux attaques avec les armes possédant la propriété Munition.",Forme le personnage au maniement des armes martiales à distance.\n\nIl bénéficie également d’un bonus de +1 aux tests d’attaque effectués avec une arme possédant la propriété Munition.,🔗
32c649ef-c37a-448e-8f8e-2570e3979cd9,0,armes-improvisees,Armes improvisées,FALSE,,,"Formé aux armes improvisées, il inflige 1d4 + Force en mêlée ou 1d4 + Précision à distance en attaquant avec un objet non conçu pour le combat.","Forme le personnage au maniement des armes improvisées.\n\nÉgalement, lorsqu’il utilise une telle arme, le bonus à l’Attaque est toujours d’au moins 1, et le dé de dégâts est toujours au minimum 1d4.",🔗
